date,postal_code,latitude,longitude,healthy,sick_guess_no_corona,sick_guess_corona,sick_corona_confirmed,recovered_confirmed,recovered_not_confirmed
2020-04-03,10020,73.1,31.6333,1,0,1,0,0,0
2020-04-03,22010,72.2607,33.346,2,0,1,1,1,0
2020-04-03,22620,71.9342,33.1227,1,1,0,0,0,0
2020-04-03,25100,71.1752,33.6754,2,0,0,0,0,0
2020-04-03,21300,72.8672,34.58,1,0,0,0,0,0
2020-04-04,10020,73.1,31.6333,1,0,1,0,0,0
2020-04-04,22010,72.2607,33.346,5,0,1,1,1,0
2020-04-04,22620,71.9342,33.1227,1,2,0,0,0,0
2020-04-04,25100,71.1752,33.6754,2,0,0,0,0,0
2020-04-04,21300,72.8672,34.58,2,0,0,0,0,0
2020-04-04,10011,71.6511,30.7819,1,0,0,0,0,0
2020-04-05,10020,73.1,31.6333,1,0,1,0,0,0
2020-04-05,22010,72.2607,33.346,31,1,2,0,1,0
2020-04-05,22620,71.9342,33.1227,14,3,0,0,0,0
2020-04-05,25100,71.1752,33.6754,2,0,0,0,0,0
2020-04-05,21300,72.8672,34.58,14,0,0,0,0,1
2020-04-05,10011,71.6511,30.7819,1,0,0,0,0,0
2020-04-05,12350,71.6782,31.0295,1,0,0,0,0,1
2020-04-05,25000,71.875,33.885,11,0,0,0,0,0
2020-04-05,23200,71.8046,33.9254,11,0,0,0,0,1
2020-04-05,23430,72.3465,34.1013,3,0,0,0,0,0
2020-04-05,18000,69.8897,32.5314,3,0,0,0,0,0
2020-04-05,26000,71.7403,33.6156,0,0,1,0,0,0
2020-04-05,47080,72.7944,33.6436,1,0,0,0,0,0
2020-04-05,19200,72.5631,34.8741,1,0,0,0,0,0
2020-04-05,43600,72.3873,33.5937,0,1,0,0,0,0
2020-04-05,44000,73.0113,33.6957,5,0,0,0,0,0
2020-04-05,46000,72.8417,33.4292,2,0,0,0,0,0
2020-04-05,28100,70.6877,32.8177,1,0,0,0,0,0
2020-04-05,27200,71.0835,33.3105,2,0,0,0,0,0
2020-04-05,24100,71.1907,33.8106,1,0,0,0,0,0
2020-04-05,68100,69.3472,28.0167,1,0,0,0,0,0
2020-04-05,10500,73.7833,33.2472,1,0,0,0,0,0
2020-04-05,50400,73.5457,32.654,0,1,0,0,0,0
2020-04-05,19130,72.3611,34.7761,1,0,0,0,0,0
